w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_ind,kappa,e,kappa_lev,MA_long,MA_short
[0.63528361],[0.36471639],[-0.00373506],[0.99936605],[0.01072624],[0.00946325],[-0.32691126],[0.00149472],[-0.00309181],[1.01760264],[1.01744534]
[0.59726769],[0.40273231],[-0.01351721],[0.98585741],[0.0109326],[0.00952733],[-0.36956149],[0.00824423],[-0.00757126],[1.01718791],[1.01680292]
[0.69152912],[0.30847088],[0.00096125],[0.98680506],[0.01086281],[0.009466],[-0.22942543],[0.00178579],[-0.01178023],[1.01679398],[1.01619525]
[0.65250328],[0.34749672],[0.01245712],[0.99909781],[0.01098276],[0.00951047],[-0.27653339],[0.00647283],[-0.01409136],[1.01656623],[1.01585025]
[0.71760242],[0.28239758],[0.00504202],[1.00413528],[0.0109464],[0.0094667],[-0.18474975],[0.00185932],[-0.01560364],[1.01640743],[1.01561475]
[0.59853178],[0.40146822],[0.0145158],[1.01871111],[0.0111111],[0.00954747],[-0.35125154],[0.01035507],[-0.01495742],[1.01643664],[1.01567676]
[0.640608],[0.359392],[-0.00267035],[1.01599079],[0.0110529],[0.0094919],[-0.28856505],[0.00451757],[-0.01472356],[1.01643103],[1.01568303]
[0.77326518],[0.22673482],[0.00189182],[1.01791286],[0.01098821],[0.00943474],[-0.10623069],[-0.00152207],[-0.01421512],[1.01644956],[1.01572736]
[0.99645699],[0.00354301],[-4.39210655e-05],[1.01786816],[0.01091979],[0.00937599],[0.14110692],[-0.00776889],[-0.01372652],[1.01646717],[1.01576978]
[1.19180051],[-0.19180051],[0.00762883],[1.0256333],[0.0108855],[0.00935643],[0.31697627],[-0.00985691],[-0.01211597],[1.01658019],[1.01596454]
[1.48401719],[-0.48401719],[-0.00106877],[1.02453713],[0.01081907],[0.00929971],[0.55692027],[-0.01593729],[-0.01071238],[1.01667764],[1.01613324]
[0.68774608],[0.31225392],[-0.03184455],[0.9919112],[0.01100904],[0.00988779],[-0.22153987],[0.04538035],[-0.01413791],[1.01637637],[1.01565815]
[0.46799566],[0.53200434],[-0.00406543],[0.98787865],[0.01096214],[0.00983803],[-0.61076993],[0.04033439],[-0.01805783],[1.016032],[1.01511505]
[0.37805448],[0.62194552],[-0.01040895],[0.97759587],[0.01117024],[0.00984508],[-0.80538497],[0.04105076],[-0.02338425],[1.01557059],[1.01438386]
[0.34327439],[0.65672561],[-0.00381685],[0.97386453],[0.01116131],[0.00979506],[-0.90269248],[0.03595775],[-0.02911258],[1.01507316],[1.01359666]
