P10,P50,P90
14.180005397251092,14.977163788678803,15.771339142719453
14.178931221863253,14.97752837007777,15.780823258621057
14.179339664962706,14.977533565234008,15.781870341181024
14.17168225887337,14.97632389139495,15.778255946800623
14.17494042607326,14.980032497359709,15.789363513826173
14.180215276812687,14.973811510476185,15.783020589020033
14.181430826170523,14.971775874547248,15.7939743621003
14.179890727184134,14.971410477100195,15.789015113006274
14.18400305082146,14.968023734765357,15.784796975067115
14.182573332211238,14.968669390320143,15.78155801243293
14.178640205519844,14.968474146539002,15.790575786427688
14.177307774489359,14.964007635345785,15.788628351276277
14.179490984935672,14.963088264317136,15.781437719682268
14.182183115166007,14.964650230213717,15.77321086128341
14.187616920064611,14.965492450341555,15.774944319508407
14.183463278550246,14.967605961802185,15.774490650296288
14.185321225104701,14.967188619472559,15.771997253365905
14.188808306925425,14.968684751388984,15.772350453374747
14.186333833222596,14.972146534398773,15.773925222577637
14.189646627431312,14.975072135789365,15.777819750648865
14.195300536664574,14.97435694605598,15.773438859634936
14.184277998811408,14.975244251163197,15.782162634553519
14.190238459320463,14.9788681732785,15.7804731678098
14.19488065629289,14.974593497108248,15.781059864070418
14.196939877257792,14.9773904353989,15.783995329609246
14.19872844466726,14.971651582637671,15.780828070481926
14.200555554988535,14.97364446402866,15.783624344135465
14.207063168592788,14.972212700734918,15.785078818785985
14.209377317223593,14.975532109651512,15.776665061078463
14.21051997623772,14.974592090709987,15.783130508004428
14.214562760331157,14.972301875573955,15.775600983891808
14.210623970904749,14.970529266340364,15.775609852996492
14.2093006449866,14.968514555649534,15.774413046275466
14.208357655809658,14.969644181093113,15.776090787014498
14.210871250261125,14.967364238029568,15.768027333643602
14.206449564779772,14.9638883135207,15.769884368632582
14.20643118993415,14.968392959568817,15.770677042602827
14.207849625564602,14.965575363890894,15.774327123556937
14.212435147782413,14.968173906206292,15.773403396574935
14.209237264684218,14.97387187613693,15.76815279198599
14.212859413528019,14.973377236149721,15.766583628164998
14.211115060394006,14.97091796633294,15.772232047154553
14.209939232708962,14.97084669176859,15.772117085596244
14.212673222574386,14.973903983911981,15.771344717368976
14.211183517995972,14.975421033718675,15.77014088184648
14.21822282797589,14.974187216419294,15.76990690628214
14.220867771821636,14.971358719516383,15.77075188296168
14.215711618946466,14.970269119644831,15.76585135039697
14.213018570946412,14.96909725027249,15.766003690551747
14.212462511420098,14.969494739013335,15.771123752706199
14.206639755939266,14.969760094682794,15.773119601976177
14.209171389506995,14.971714564829579,15.771791286033535
